iteration_id,solution_id,agv_count,running_times_seconds,energy_consumptions_joules,max_running_time_seconds,total_energy_consumption_joules,source_auxiliary_value
1,1,10,"[496,198,365,466,515,503,326,509,189,545]","[1445000,555000,1036000,1365000,1435000,1441000,918000,1410000,519000,1498000]",545,11622000,13
1,2,10,"[197,408,612,341,236,474,289,177,177,1186]","[589000,1195000,1696000,997000,661000,1287000,791000,507000,484000,3363000]",1186,11570000,25
1,3,10,"[356,348,386,236,408,569,569,400,457,245]","[1048000,1024000,1114000,650000,1186000,1576000,1592000,1151000,1379000,666000]",569,11386000,17
1,4,10,"[277,203,677,363,641,447,515,236,291,441]","[746000,589000,1873000,995000,1735000,1291000,1541000,691000,837000,1289000]",677,11587000,23
1,5,10,"[570,614,349,228,308,516,537,212,287,342]","[1617000,1832000,962000,615000,893000,1475000,1546000,610000,795000,954000]",614,11299000,31
1,6,10,"[406,657,132,326,623,487,231,463,378,380]","[1179000,1864000,345000,892000,1792000,1360000,657000,1353000,1057000,1075000]",657,11574000,17
1,7,10,"[428,309,327,281,667,181,373,266,304,789]","[1285000,888000,951000,767000,1880000,515000,1052000,753000,904000,2253000]",789,11248000,21
1,8,10,"[678,353,284,341,416,407,345,287,717,251]","[1885000,1000000,838000,1017000,1153000,1096000,979000,839000,2051000,727000]",717,11585000,25
1,9,10,"[261,458,523,247,305,230,609,434,375,586]","[728000,1342000,1454000,746000,811000,667000,1800000,1255000,1039000,1648000]",609,11490000,27
1,10,10,"[1184,492,186,362,363,472,193,189,348,226]","[3341000,1401000,519000,1024000,1082000,1375000,542000,521000,1011000,647000]",1184,11463000,29
1,11,10,"[399,315,486,364,379,644,209,402,423,441]","[1171000,907000,1370000,1037000,1070000,1828000,631000,1127000,1176000,1233000]",644,11550000,25
1,12,10,"[203,439,713,367,375,269,304,241,286,688]","[562000,1228000,2051000,1079000,1068000,776000,837000,686000,833000,2031000]",713,11151000,37
1,13,10,"[291,511,511,397,287,321,270,296,568,264]","[897000,1497000,1495000,1174000,831000,916000,768000,862000,1634000,757000]",568,10831000,27
1,14,10,"[535,329,371,193,391,219,378,383,366,817]","[1545000,922000,1036000,572000,1115000,601000,1058000,1084000,996000,2435000]",817,11364000,25
1,15,10,"[264,230,330,525,591,386,557,517,264,510]","[743000,613000,912000,1440000,1707000,1115000,1597000,1448000,732000,1452000]",591,11759000,29
1,16,10,"[231,306,352,227,239,293,718,745,247,638]","[667000,909000,1020000,632000,651000,824000,2057000,2108000,680000,1852000]",745,11400000,23
1,17,10,"[146,337,421,746,232,192,322,1182,227,191]","[400000,946000,1197000,2101000,620000,555000,959000,3441000,634000,546000]",1182,11399000,33
1,18,10,"[382,312,347,490,310,478,263,481,217,777]","[1082000,889000,998000,1431000,920000,1334000,714000,1346000,623000,2205000]",777,11542000,25
1,19,10,"[173,812,478,166,223,208,323,807,473,231]","[466000,2390000,1340000,470000,613000,566000,924000,2366000,1382000,664000]",812,11181000,41
1,20,10,"[323,436,742,154,262,609,406,353,467,241]","[921000,1264000,2133000,467000,773000,1720000,1105000,1024000,1319000,657000]",742,11383000,25
1,21,10,"[407,155,386,408,382,844,262,316,536,217]","[1194000,422000,1129000,1140000,1079000,2444000,762000,932000,1552000,565000]",844,11219000,27
1,22,10,"[515,594,185,478,413,549,409,223,232,245]","[1500000,1713000,527000,1398000,1171000,1577000,1202000,674000,633000,701000]",594,11096000,35
