iteration_id,solution_id,agv_count,running_times_seconds,energy_consumptions_joules,max_running_time_seconds,total_energy_consumption_joules
1,1,5,"[700,585,511,698,521]","[2035000,1746000,1478000,2087000,1555000]",700,8901000
1,2,5,"[690,587,511,703,523]","[2007000,1746000,1467000,2111000,1565000]",703,8896000
1,3,5,"[684,585,511,698,548]","[1988000,1746000,1478000,2087000,1620000]",698,8919000
1,4,5,"[689,585,521,684,548]","[1994000,1746000,1507000,2052000,1630000]",689,8929000
1,5,5,"[664,661,532,659,654]","[1925000,1940000,1520000,2002000,1887000]",664,9274000
1,6,5,"[667,588,598,670,627]","[1925000,1752000,1700000,2000000,1812000]",670,9189000
1,7,5,"[668,590,518,671,629]","[1927000,1759000,1489000,1999000,1816000]",671,8990000
1,8,5,"[690,587,492,699,544]","[2000000,1750000,1428000,2097000,1631000]",699,8906000
1,9,5,"[669,662,592,668,633]","[1941000,1979000,1682000,2017000,1833000]",669,9452000
1,10,5,"[678,573,534,697,548]","[1980000,1704000,1533000,2087000,1627000]",697,8931000
1,11,5,"[689,585,516,703,519]","[1998000,1746000,1499000,2111000,1547000]",703,8901000
1,12,5,"[681,586,530,678,559]","[1995000,1746000,1540000,2059000,1655000]",681,8995000
1,13,5,"[678,586,529,678,562]","[1989000,1746000,1532000,2059000,1670000]",678,8996000
1,14,5,"[667,588,620,670,628]","[1925000,1752000,1735000,2000000,1814000]",670,9226000
1,15,5,"[699,585,515,697,519]","[2030000,1746000,1498000,2087000,1547000]",699,8908000
1,16,5,"[671,587,511,658,658]","[1945000,1750000,1475000,1977000,1885000]",671,9032000
1,17,5,"[692,586,518,677,561]","[2014000,1746000,1489000,2045000,1665000]",692,8959000
1,18,5,"[678,573,542,694,548]","[1980000,1704000,1555000,2073000,1627000]",694,8939000
1,19,5,"[689,595,512,678,584]","[1996000,1743000,1480000,2043000,1726000]",689,8988000
1,20,5,"[670,657,585,669,632]","[1939000,1959000,1635000,2017000,1831000]",670,9381000
1,21,5,"[684,586,530,682,570]","[1997000,1751000,1534000,2034000,1689000]",684,9005000
1,22,5,"[682,595,508,686,625]","[1970000,1775000,1475000,2065000,1814000]",686,9099000
1,23,5,"[676,588,514,638,651]","[1939000,1751000,1477000,1936000,1875000]",676,8978000
1,24,5,"[668,589,535,715,536]","[1948000,1757000,1538000,2154000,1591000]",715,8988000
1,25,5,"[689,586,518,684,561]","[2005000,1746000,1489000,2058000,1665000]",689,8963000
1,26,5,"[681,576,490,753,589]","[1982000,1710000,1389000,2213000,1736000]",753,9030000
1,27,5,"[684,586,502,713,543]","[1987000,1751000,1454000,2141000,1629000]",713,8962000
1,28,5,"[650,658,535,767,640]","[1891000,1959000,1501000,2293000,1826000]",767,9470000
1,29,5,"[687,585,544,704,520]","[1994000,1746000,1586000,2113000,1562000]",704,9001000
1,30,5,"[665,665,635,673,631]","[1927000,1979000,1753000,2006000,1820000]",673,9485000
1,31,5,"[669,593,465,719,632]","[1938000,1756000,1329000,2147000,1821000]",719,8991000
1,32,5,"[683,586,528,678,573]","[1997000,1746000,1530000,2059000,1695000]",683,9027000
1,33,5,"[688,588,516,756,520]","[1995000,1755000,1488000,2238000,1553000]",756,9029000
1,34,5,"[699,588,601,720,557]","[2026000,1752000,1709000,2137000,1649000]",720,9273000
1,35,5,"[687,587,498,756,523]","[1990000,1750000,1444000,2238000,1562000]",756,8984000
1,36,5,"[684,593,606,677,623]","[1977000,1762000,1722000,2004000,1795000]",684,9260000
1,37,5,"[692,585,544,677,561]","[2014000,1746000,1550000,2045000,1668000]",692,9023000
1,38,5,"[704,635,555,699,523]","[2041000,1891000,1584000,2087000,1558000]",704,9161000
1,39,5,"[669,664,487,689,654]","[1941000,1955000,1377000,2107000,1887000]",689,9267000
1,40,5,"[682,588,525,680,555]","[2000000,1751000,1512000,2063000,1647000]",682,8973000
1,41,5,"[678,585,522,718,536]","[1968000,1746000,1500000,2159000,1606000]",718,8979000
1,42,5,"[695,585,525,674,555]","[2032000,1746000,1512000,2042000,1647000]",695,8979000
1,43,5,"[682,594,504,677,585]","[1982000,1743000,1458000,2047000,1734000]",682,8964000
1,44,5,"[689,585,468,722,564]","[1996000,1746000,1347000,2191000,1670000]",722,8950000
1,45,5,"[668,599,657,673,629]","[1939000,1800000,1857000,2022000,1819000]",673,9437000
1,46,5,"[667,663,531,704,628]","[1930000,1942000,1506000,2098000,1814000]",704,9290000
