iteration_id,solution_id,agv_count,running_times_seconds,energy_consumptions_joules,max_running_time_seconds,total_energy_consumption_joules
1,1,5,"[682,702,693,702,696]","[2039000,2103000,2024000,2076000,2008000]",702,10250000
1,2,5,"[703,717,700,697,611]","[2042000,2158000,2030000,2056000,1747000]",717,10033000
1,3,5,"[694,714,703,696,613]","[2048000,2154000,2036000,2047000,1754000]",714,10039000
1,4,5,"[657,717,718,699,610]","[1926000,2167000,2088000,2064000,1746000]",718,9991000
1,5,5,"[641,745,613,742,580]","[1894000,2246000,1770000,2189000,1664000]",745,9763000
1,6,5,"[699,697,699,698,697]","[2075000,2093000,2040000,2074000,1996000]",699,10278000
1,7,5,"[709,746,617,745,561]","[2063000,2242000,1760000,2195000,1614000]",746,9874000
1,8,5,"[697,716,657,703,693]","[2075000,2173000,1921000,2078000,1989000]",716,10236000
1,9,5,"[684,717,656,702,690]","[2041000,2181000,1921000,2076000,1969000]",717,10188000
1,10,5,"[698,702,693,698,696]","[2080000,2103000,2024000,2071000,2007000]",702,10285000
1,11,5,"[634,755,650,715,606]","[1916000,2254000,1855000,2108000,1709000]",755,9842000
1,12,5,"[640,792,636,741,562]","[1829000,2396000,1810000,2187000,1605000]",792,9827000
1,13,5,"[682,699,699,704,696]","[2039000,2095000,2040000,2084000,1995000]",704,10253000
1,14,5,"[718,713,678,695,613]","[2102000,2152000,1965000,2045000,1754000]",718,10018000
1,15,5,"[641,778,671,710,566]","[1897000,2333000,1921000,2092000,1622000]",778,9865000
1,16,5,"[649,782,627,744,562]","[1918000,2348000,1784000,2185000,1619000]",782,9854000
1,17,5,"[695,718,658,688,691]","[2069000,2162000,1921000,2047000,1985000]",718,10184000
1,18,5,"[691,730,725,710,597]","[2040000,2191000,2090000,2094000,1734000]",730,10149000
1,19,5,"[712,747,615,744,564]","[2060000,2262000,1772000,2192000,1620000]",747,9906000
1,20,5,"[685,735,689,732,614]","[2022000,2189000,2006000,2157000,1732000]",735,10106000
1,21,5,"[775,770,673,673,564]","[2229000,2320000,1953000,1978000,1619000]",775,10099000
1,22,5,"[647,744,666,698,857]","[1927000,2233000,1927000,2031000,2437000]",857,10555000
1,23,5,"[655,816,634,699,696]","[1936000,2451000,1851000,2069000,2000000]",816,10307000
1,24,5,"[648,798,664,692,614]","[1889000,2418000,1936000,2050000,1782000]",798,10075000
1,25,5,"[773,888,606,722,610]","[2230000,2595000,1722000,2134000,1713000]",888,10394000
1,26,5,"[707,751,668,713,558]","[2066000,2262000,1896000,2098000,1599000]",751,9921000
1,27,5,"[699,759,673,746,556]","[2066000,2295000,1969000,2184000,1609000]",759,10123000
1,28,5,"[657,825,634,732,691]","[1937000,2446000,1851000,2150000,1985000]",825,10369000
