iteration_id,solution_id,agv_count,running_times_seconds,energy_consumptions_joules,max_running_time_seconds,total_energy_consumption_joules
1,1,8,"[467,429,437,469,450,428,461,450]","[1368000,1213000,1235000,1367000,1254000,1272000,1300000,1296000]",469,10305000
1,2,8,"[475,430,431,499,403,431,371,375]","[1364000,1213000,1231000,1487000,1145000,1301000,1027000,1050000]",499,9818000
1,3,8,"[443,424,444,482,450,441,374,379]","[1288000,1197000,1255000,1413000,1268000,1317000,1032000,1058000]",482,9828000
1,4,8,"[466,475,424,438,443,431,413,374]","[1341000,1354000,1198000,1284000,1242000,1300000,1185000,1051000]",475,9955000
1,5,8,"[447,478,423,477,441,436,415,368]","[1282000,1360000,1196000,1382000,1240000,1305000,1178000,1039000]",478,9982000
1,6,8,"[430,491,443,496,402,438,380,374]","[1244000,1404000,1249000,1475000,1134000,1305000,1044000,1048000]",496,9903000
1,7,8,"[473,426,453,476,449,441,375,435]","[1385000,1207000,1305000,1399000,1257000,1287000,1040000,1228000]",476,10108000
1,8,8,"[442,426,447,474,448,440,457,466]","[1281000,1202000,1259000,1367000,1262000,1330000,1280000,1346000]",474,10327000
1,9,8,"[474,424,462,484,453,447,374,382]","[1368000,1202000,1324000,1415000,1272000,1293000,1029000,1066000]",484,9969000
1,10,8,"[438,461,398,485,475,443,425,356]","[1236000,1323000,1120000,1431000,1338000,1336000,1181000,1000000]",485,9965000
1,11,8,"[470,427,450,469,449,443,458,453]","[1386000,1207000,1299000,1348000,1255000,1285000,1282000,1289000]",470,10351000
1,12,8,"[442,443,424,507,473,428,328,377]","[1295000,1265000,1206000,1494000,1345000,1285000,946000,1063000]",507,9899000
1,13,8,"[447,432,423,477,441,485,415,368]","[1282000,1217000,1196000,1382000,1236000,1447000,1178000,1039000]",485,9977000
1,14,8,"[474,426,457,477,453,439,377,433]","[1396000,1207000,1325000,1400000,1257000,1277000,1044000,1226000]",477,10132000
1,15,8,"[430,491,443,496,402,444,380,374]","[1244000,1405000,1249000,1475000,1140000,1323000,1045000,1048000]",496,9929000
1,16,8,"[430,445,446,498,402,480,379,374]","[1244000,1265000,1254000,1475000,1140000,1439000,1049000,1046000]",498,9912000
