iteration_id,solution_id,agv_count,running_times_seconds,energy_consumptions_joules,max_running_time_seconds,total_energy_consumption_joules
1,1,10,"[305,421,241,378,387,424,398,409,386,427]","[844000,1200000,702000,1069000,1082000,1164000,1159000,1238000,1070000,1233000]",427,10761000
1,2,10,"[304,411,273,380,397,443,413,389,347,418]","[887000,1181000,770000,1080000,1108000,1209000,1165000,1161000,985000,1221000]",443,10767000
1,3,10,"[377,378,251,372,334,436,418,410,415,442]","[1040000,1110000,706000,1071000,958000,1210000,1181000,1207000,1205000,1213000]",442,10901000
1,4,10,"[329,422,241,383,388,431,427,365,383,423]","[904000,1227000,702000,1080000,1089000,1188000,1220000,1111000,1066000,1227000]",431,10814000
1,5,10,"[269,426,266,379,394,430,425,408,384,417]","[765000,1219000,757000,1083000,1095000,1190000,1216000,1232000,1077000,1220000]",430,10854000
1,6,10,"[329,422,241,387,388,422,429,365,385,423]","[904000,1227000,702000,1088000,1089000,1164000,1233000,1111000,1076000,1227000]",429,10821000
1,7,10,"[380,377,251,373,333,432,420,412,415,440]","[1046000,1108000,706000,1076000,962000,1206000,1185000,1209000,1205000,1213000]",440,10916000
1,8,10,"[354,421,353,384,415,429,391,361,415,406]","[949000,1159000,946000,1101000,1184000,1201000,1124000,1031000,1188000,1148000]",429,11031000
1,9,10,"[328,389,240,380,381,431,425,410,377,419]","[909000,1128000,702000,1074000,1081000,1186000,1216000,1236000,1050000,1221000]",431,10803000
1,10,10,"[402,376,419,389,362,381,399,408,407,418]","[1050000,1085000,1164000,1138000,1054000,1122000,1182000,1132000,1170000,1191000]",419,11288000
1,11,10,"[234,295,360,381,384,432,399,415,333,427]","[681000,856000,977000,1113000,1053000,1232000,1116000,1247000,941000,1249000]",432,10465000
1,12,10,"[418,360,346,403,382,424,337,359,419,378]","[1175000,991000,968000,1134000,1121000,1190000,998000,1024000,1215000,1092000]",424,10908000
1,13,10,"[398,420,353,383,414,427,394,362,411,408]","[1051000,1163000,946000,1094000,1189000,1194000,1139000,1031000,1184000,1158000]",427,11149000
1,14,10,"[367,417,309,382,379,397,392,421,411,419]","[1014000,1169000,855000,1091000,1122000,1091000,1131000,1234000,1184000,1151000]",421,11042000
1,15,10,"[283,305,349,424,388,403,419,417,335,452]","[749000,877000,902000,1224000,1067000,1199000,1169000,1243000,955000,1244000]",452,10629000
1,16,10,"[344,403,269,393,376,434,400,416,411,333]","[998000,1173000,754000,1140000,1058000,1236000,1123000,1202000,1186000,972000]",434,10842000
1,17,10,"[265,420,244,378,387,422,421,412,369,424]","[751000,1198000,719000,1101000,1054000,1189000,1179000,1237000,1038000,1245000]",424,10711000
1,18,10,"[292,427,244,379,390,425,433,408,367,424]","[819000,1214000,719000,1086000,1096000,1170000,1235000,1234000,1038000,1207000]",433,10818000
1,19,10,"[262,411,243,433,395,378,414,411,366,428]","[752000,1182000,717000,1223000,1110000,1042000,1165000,1232000,1040000,1258000]",433,10721000
1,20,10,"[369,380,257,397,334,437,367,417,412,449]","[1022000,1111000,716000,1146000,968000,1216000,1034000,1223000,1190000,1229000]",449,10855000
1,21,10,"[329,393,251,386,389,420,428,409,386,423]","[903000,1139000,725000,1088000,1086000,1164000,1225000,1238000,1084000,1229000]",428,10881000
1,22,10,"[354,361,317,408,374,424,432,389,420,355]","[1051000,974000,884000,1164000,1089000,1213000,1230000,1109000,1209000,1044000]",432,10967000
1,23,10,"[334,417,281,349,395,427,389,408,414,417]","[972000,1140000,802000,984000,1097000,1178000,1117000,1234000,1188000,1219000]",427,10931000
1,24,10,"[295,407,291,353,388,366,431,437,372,418]","[830000,1173000,801000,990000,1091000,984000,1227000,1338000,1056000,1221000]",437,10711000
1,25,10,"[269,426,266,381,395,430,425,408,385,417]","[765000,1225000,757000,1087000,1095000,1190000,1216000,1232000,1076000,1220000]",430,10863000
1,26,10,"[355,361,322,409,372,424,430,390,423,348]","[1070000,964000,896000,1166000,1087000,1213000,1224000,1107000,1209000,1013000]",430,10949000
1,27,10,"[342,404,269,393,376,435,402,417,409,333]","[985000,1177000,752000,1140000,1058000,1238000,1134000,1209000,1181000,972000]",435,10846000
1,28,10,"[267,422,243,425,395,377,370,412,409,430]","[761000,1199000,717000,1225000,1110000,1045000,1040000,1229000,1179000,1251000]",430,10756000
1,29,10,"[344,408,271,389,364,434,404,418,407,334]","[989000,1186000,764000,1132000,1038000,1246000,1134000,1215000,1177000,974000]",434,10855000
1,30,10,"[340,424,243,411,420,425,428,381,297,434]","[949000,1203000,707000,1176000,1187000,1173000,1230000,1158000,834000,1234000]",434,10851000
1,31,10,"[384,416,283,347,393,429,424,407,383,416]","[1061000,1138000,794000,979000,1089000,1182000,1214000,1232000,1072000,1215000]",429,10976000
