file_type,algorithm,agv_count,task_count,iterations,nonblank_solutions,repository_path,source_filename
benchmark_tasks,Common task locations,5,36,30,,data/benchmark_tasks/tasks_AGV05_T036.csv,results_VNS_improved_Vehi5_tas36_group_mod_copy(1).csv
benchmark_tasks,Common task locations,5,72,30,,data/benchmark_tasks/tasks_AGV05_T072.csv,results_VNS_improved_Vehi5_tas72_group_mod_copy(1).csv
benchmark_tasks,Common task locations,5,100,30,,data/benchmark_tasks/tasks_AGV05_T100.csv,results_VNS_improved_Vehi5_tas100_group_mod_copy(1).csv
benchmark_tasks,Common task locations,8,36,30,,data/benchmark_tasks/tasks_AGV08_T036.csv,results_VNS_improved_Vehi8_tas36_group_mod_copy (1)(1).csv
benchmark_tasks,Common task locations,8,72,30,,data/benchmark_tasks/tasks_AGV08_T072.csv,results_VNS_improved_Vehi8_tas72_group_mod_copy (1)(1).csv
benchmark_tasks,Common task locations,8,100,30,,data/benchmark_tasks/tasks_AGV08_T100.csv,results_VNS_improved_Vehi8_tas100_group_mod_copy(1).csv
benchmark_tasks,Common task locations,10,36,30,,data/benchmark_tasks/tasks_AGV10_T036.csv,results_VNS_improved_Vehi10_tas36_group_mod_copy (1)(1).csv
benchmark_tasks,Common task locations,10,72,30,,data/benchmark_tasks/tasks_AGV10_T072.csv,results_VNS_improved_Vehi10_tas72_group_mod_copy (1)(1).csv
benchmark_tasks,Common task locations,10,100,30,,data/benchmark_tasks/tasks_AGV10_T100.csv,results_VNS_improved_Vehi10_tas100_group_mod_copy (1)(1).csv
results,KnEA,5,36,30,1893,data/results/KnEA/KnEA_AGV05_T036.csv,Knee_Vehi5_tas36_group_mo_co(1).csv
results,KnEA,5,72,30,1950,data/results/KnEA/KnEA_AGV05_T072.csv,Knee_Vehi5_tas72_group_mo_co(1).csv
results,KnEA,5,100,30,1950,data/results/KnEA/KnEA_AGV05_T100.csv,Knee_Vehi5_tas100_group_mo_co(1).csv
results,KnEA,8,36,30,1834,data/results/KnEA/KnEA_AGV08_T036.csv,Knee_Vehi8_tas36_group_mo_co(1).csv
results,KnEA,8,72,30,1950,data/results/KnEA/KnEA_AGV08_T072.csv,Knee_Vehi8_tas72_group_mo_co (1)(1).csv
results,KnEA,8,100,30,1950,data/results/KnEA/KnEA_AGV08_T100.csv,Knee_Vehi8_tas100_group_mo_co(1).csv
results,KnEA,10,36,30,1938,data/results/KnEA/KnEA_AGV10_T036.csv,Knee_Vehi10_tas36_group_mo_co(1).csv
