iteration_id,task_count,task_locations
1,72,"[[3,3],[3,6],[3,12],[3,14],[3,15],[3,21],[3,22],[3,29],[5,6],[5,11],[5,24],[5,32],[5,34],[6,11],[6,17],[6,24],[6,32],[6,35],[6,38],[8,5],[8,8],[8,14],[8,21],[8,23],[8,26],[8,34],[8,38],[8,41],[9,3],[9,5],[9,11],[9,13],[9,16],[9,26],[9,35],[11,17],[11,21],[11,21],[11,31],[11,35],[11,38],[12,3],[12,5],[12,6],[12,12],[12,15],[12,16],[12,21],[12,32],[12,33],[12,42],[14,4],[14,14],[14,25],[14,26],[14,26],[14,31],[14,41],[15,5],[15,6],[15,13],[15,15],[15,38],[17,3],[17,15],[17,22],[17,24],[17,26],[17,30],[17,33],[17,35],[17,40]]"
2,72,"[[3,5],[3,13],[3,20],[3,22],[3,25],[3,39],[3,42],[3,44],[5,2],[5,29],[5,29],[5,31],[5,32],[5,38],[6,3],[6,16],[6,17],[6,31],[6,32],[6,33],[6,38],[6,41],[6,43],[8,3],[8,16],[8,23],[8,41],[9,4],[9,7],[9,11],[9,16],[9,17],[9,29],[9,34],[9,42],[11,14],[11,32],[11,34],[11,41],[12,5],[12,14],[12,25],[12,32],[12,42],[14,3],[14,11],[14,21],[14,23],[14,24],[14,29],[14,29],[14,31],[14,40],[14,44],[15,2],[15,3],[15,4],[15,13],[15,21],[15,23],[15,38],[15,43],[15,44],[17,4],[17,14],[17,15],[17,17],[17,22],[17,25],[17,29],[17,31],[17,31]]"
3,72,"[[3,3],[3,11],[3,14],[3,21],[3,22],[3,30],[3,43],[5,2],[5,2],[5,7],[5,12],[5,14],[5,25],[5,25],[5,29],[5,33],[5,40],[6,7],[6,14],[6,35],[6,38],[6,40],[8,2],[8,5],[8,8],[8,11],[8,11],[8,15],[8,23],[8,26],[8,29],[8,34],[8,41],[9,7],[9,14],[9,14],[9,17],[9,25],[9,30],[9,33],[11,6],[11,7],[11,8],[11,17],[11,30],[11,30],[11,40],[11,41],[12,2],[12,4],[12,6],[12,16],[12,33],[12,43],[12,44],[12,44],[14,8],[14,21],[14,25],[15,15],[15,20],[15,20],[15,34],[15,43],[17,4],[17,25],[17,29],[17,32],[17,34],[17,39],[17,43],[17,44]]"
4,72,"[[3,13],[3,13],[3,21],[3,24],[3,30],[3,33],[3,34],[3,40],[3,41],[3,43],[3,44],[5,5],[5,13],[5,16],[5,20],[5,21],[5,31],[6,7],[6,8],[6,12],[6,13],[6,29],[6,35],[8,5],[8,15],[8,20],[8,25],[8,34],[8,35],[8,38],[8,41],[8,41],[8,43],[9,16],[9,21],[9,22],[9,30],[9,32],[9,35],[9,41],[11,5],[11,38],[11,44],[12,2],[12,11],[12,16],[12,31],[12,39],[14,4],[14,5],[14,8],[14,11],[14,16],[14,23],[14,26],[14,31],[14,32],[15,7],[15,23],[15,25],[15,31],[15,39],[17,5],[17,5],[17,7],[17,11],[17,23],[17,26],[17,29],[17,34],[17,34],[17,43]]"
5,72,"[[3,15],[3,34],[3,35],[3,44],[5,5],[5,6],[5,7],[5,12],[5,13],[5,16],[5,24],[5,29],[5,35],[5,40],[5,42],[5,43],[6,12],[6,17],[6,26],[6,26],[6,38],[6,42],[8,6],[8,6],[8,7],[8,11],[8,12],[8,25],[8,29],[8,32],[8,33],[8,35],[8,40],[8,44],[9,3],[9,14],[9,15],[9,21],[9,24],[9,41],[9,44],[9,44],[11,2],[11,3],[11,11],[11,16],[11,23],[11,29],[12,4],[12,7],[12,7],[12,7],[12,13],[12,13],[12,17],[12,31],[14,17],[14,32],[14,41],[15,2],[15,31],[15,40],[17,6],[17,8],[17,13],[17,14],[17,15],[17,15],[17,31],[17,33],[17,34],[17,41]]"
6,72,"[[3,4],[3,4],[3,24],[3,25],[3,26],[3,41],[5,2],[5,2],[5,17],[5,20],[5,30],[5,32],[5,38],[5,41],[5,44],[6,2],[6,3],[6,5],[6,11],[6,13],[6,14],[6,16],[6,33],[6,33],[6,34],[6,43],[8,5],[8,24],[8,24],[8,25],[8,26],[8,35],[8,44],[8,44],[8,44],[9,3],[9,4],[9,11],[9,17],[9,22],[9,24],[9,29],[11,35],[11,40],[11,40],[12,2],[12,2],[12,2],[12,6],[12,16],[14,13],[14,30],[14,30],[14,41],[14,42],[14,42],[14,42],[15,6],[15,8],[15,15],[15,16],[15,20],[15,24],[15,31],[17,11],[17,14],[17,22],[17,31],[17,31],[17,38],[17,39],[17,40]]"
7,72,"[[3,2],[3,8],[3,24],[3,29],[3,30],[3,30],[3,34],[3,41],[3,42],[5,3],[5,7],[5,11],[5,14],[5,24],[5,43],[6,5],[6,6],[6,13],[6,25],[6,31],[6,43],[8,7],[8,8],[8,11],[8,14],[8,21],[8,25],[8,26],[8,35],[8,39],[8,42],[9,5],[9,6],[9,13],[9,22],[9,33],[9,33],[9,35],[9,44],[11,4],[11,14],[11,22],[11,23],[11,25],[11,34],[11,41],[12,5],[12,15],[12,15],[12,16],[12,20],[12,35],[12,38],[14,3],[14,8],[14,16],[14,25],[14,26],[14,39],[15,29],[15,32],[15,38],[17,5],[17,5],[17,7],[17,15],[17,15],[17,20],[17,22],[17,24],[17,26],[17,39]]"
8,72,"[[3,12],[3,17],[3,23],[3,29],[3,41],[3,42],[3,43],[5,8],[5,8],[5,12],[5,15],[5,26],[5,31],[6,8],[6,12],[6,14],[6,26],[6,34],[6,40],[6,42],[6,43],[8,6],[8,16],[8,17],[8,20],[8,24],[9,6],[9,12],[9,32],[11,3],[11,8],[11,8],[11,11],[11,14],[11,16],[11,26],[11,30],[11,40],[11,43],[11,44],[12,12],[12,20],[12,24],[12,29],[12,30],[12,31],[12,41],[14,2],[14,4],[14,5],[14,7],[14,13],[14,24],[14,25],[14,34],[14,38],[14,38],[14,41],[15,7],[15,11],[15,17],[15,30],[15,38],[15,44],[17,3],[17,12],[17,12],[17,23],[17,32],[17,32],[17,42],[17,43]]"
9,72,"[[3,2],[3,7],[3,17],[3,22],[3,26],[3,30],[3,31],[3,31],[5,11],[5,22],[5,23],[5,38],[6,2],[6,3],[6,4],[6,16],[6,20],[6,32],[6,41],[8,4],[8,12],[8,16],[8,24],[8,25],[8,29],[8,30],[8,32],[8,38],[9,8],[9,8],[9,20],[9,21],[9,26],[9,30],[9,32],[9,32],[9,44],[11,8],[11,11],[11,11],[11,23],[11,35],[12,8],[12,20],[12,22],[12,24],[12,29],[12,30],[12,39],[12,40],[14,4],[14,7],[14,7],[14,14],[14,24],[14,33],[14,38],[14,44],[15,4],[15,8],[15,12],[15,20],[15,38],[15,42],[17,5],[17,8],[17,11],[17,13],[17,17],[17,26],[17,41],[17,43]]"
10,72,"[[3,2],[3,6],[3,17],[3,22],[3,23],[3,23],[3,34],[3,34],[3,43],[5,12],[5,16],[5,17],[5,30],[5,39],[5,43],[6,5],[6,11],[6,12],[6,23],[6,32],[6,41],[8,4],[8,6],[8,16],[8,35],[8,39],[8,40],[8,41],[9,13],[9,15],[9,16],[9,25],[9,39],[11,2],[11,2],[11,20],[11,25],[11,29],[11,35],[11,41],[11,42],[11,42],[12,14],[12,14],[12,20],[12,26],[12,30],[14,3],[14,7],[14,14],[14,20],[14,34],[14,34],[15,2],[15,4],[15,12],[15,13],[15,16],[15,21],[15,23],[15,30],[15,35],[15,40],[15,41],[15,43],[17,4],[17,4],[17,22],[17,25],[17,33],[17,34],[17,39]]"
